time,side,entry,stop,target,qty,exit,pnl
2026-07-09 09:42:04.000910,SHORT CONFIRMED,Entry:,2154.5,Stop,2156.4,Target:,2145.0
2026-07-09 09:56:15.563866,STOP LOSS HIT,Exit:,2154.5,PnL:,0.0,Total:,0.0
2026-07-09 09:57:04.540605,SHORT CONFIRMED,Entry:,2153.2,Stop,2154.5,Target:,2146.7
2026-07-09 10:01:57.844509,STOP LOSS HIT,Exit:,2154.4,PnL:,-91.2,Total:,-91.2
2026-07-09 10:22:36.934407,SHORT CONFIRMED,Entry:,2150.7,Stop,2152.0,Target:,2144.2
2026-07-09 10:23:21.699703,STOP LOSS HIT,Exit:,2152.0,PnL:,-98.8,Total:,-98.8
2026-07-09 10:37:14.454976,SHORT CONFIRMED,Entry:,2154.8,Stop,2156.8,Target:,2144.8
2026-07-09 10:38:53.436092,STOP LOSS HIT,Exit:,2156.9,PnL:,-105.0,Total:,-203.8
2026-07-09 10:43:07.512944,SHORT CONFIRMED,Entry:,2162.1,Stop,2166.8,Target:,2138.6
2026-07-09 12:07:40.441754,STOP LOSS HIT,Exit:,2162.2,PnL:,-2.1,Total:,-205.9
2026-07-09 12:11:36.621574,SHORT CONFIRMED,Entry:,2162.1,Stop,2165.0,Target:,2147.6
2026-07-09 12:13:54.401663,STOP LOSS HIT,Exit:,2162.7,PnL:,-20.4,Total:,-226.3
2026-07-09 12:27:02.371227,SHORT CONFIRMED,Entry:,2162.7,Stop,2164.7,Target:,2152.7
2026-07-09 13:22:01.181897,SHORT CONFIRMED,Entry:,2148.9,Stop,2149.9,Target:,2138.9
2026-07-09 13:34:31.247976,STOP LOSS HIT,Exit:,2149.0,PnL:,-5.0,Total:,-5.0
2026-07-09 13:37:00.526381,SHORT CONFIRMED,Entry:,2148.5,Stop,2149.7,Target:,2138.5
2026-07-09 13:37:35.256266,STOP LOSS HIT,Exit:,2149.8,PnL:,-65.0,Total:,-70.0
2026-07-09 14:00:02.744787,SHORT CONFIRMED,Entry:,2159.1,Stop,2160.6,Target:,2149.1
